Month,Year,Review,Rating,Platform
June,2011,"A group of us stopped by for sandwiches one day - I can't review the grocery, but the sandwich was fine. Nothing exceptional, unless you count the fact that the regular was about a mile long for roughly $7. Definitely value, with very nice ingredients, especially the salami, on my sort of...classic italian. One of our group had an amusing issue trying to convince the gentleman behind the counter to warm up his roast beef and mozzarella sandwich...they have hot sandwiches, and thus ovens, but this concept befuddled the sandwich artist. The grocery looks nice, with lots of specialty items and baked goods, tomato pies to go (which seem to be a ""thing,"" I've never personally experienced) and very nice looking meats at the butcher counter. If I lived in the area, I think I'd be back again for a quick lunch sandwich.",3,Yelp
October,2011,"My favorite Italian store in the burbs.  It's not 9th Street in South Philly, but it is very good, sufficient and more than adequate, and saves me a 45 minute drive into town. Compared to other Italian stores in the burbs, this beats them by a ton.  Their prices are very reasonable, every day olive oil, the big jar of anchovies, the selection of cheeses, the vinegars, the olives, and where they really excel is their meats.  Get some veal scallopine, or some hot italian sausage, or some NY Strips, or rib eye, all excellent.  Almost as reasonable as a regular grocery store, but the quality far exceeds them. Get a slice of tomato pie for the ride home in the car.  Grab some cheeses and Italian sausage or pepperoni for a snack, buy some frozen ravioli for a quick dinner, pick up some fresh produce, all there for the taking, and all making my mouth water as I type. I've never had one of their sandwiches or platters or prepared foods, so I cannot comment. But this place is solid...book it!!",4,Yelp
July,2018,"I have frequented both locations for years . I would say eight out of 10 times my order was made incorrectly. No one repeats the order back , very frustrating. The young individuals that take orders seem distracted and don't listen. I will agree with one person about the tomato pie, very little sauce and too much oil...The meatballs , not sure what I'm eating.Other than that the food is good but they need to take the time to make sure that the orders are correct before they leaves the store...One thing that is rocksolid, the bacon egg and cheese breakfast sandwiches cannot be beat, excellent ingredients, great roll , no way they can foul it up...Try one and you will see what I mean",1,Yelp
August,2017,Ordered deli sandwiches and they were fabulous. Felt just like old times. Service and staff was great. This is why we have come here often all these years. Welcome back!!,4,Yelp
November,2016,"Horrible. Ordered sandwiches here twice in the past few weeks. Both times they were dry, skimpy on the lunch meat and just plain bland as far as taste. I was very unimpressed. Once a place starts downhill, it sure is hard to stop rolling down. Hated it.",2,Yelp
January,2015,"Sandwiches were good, but a bit dry. Tuna hoagie my wife ordered was great, but the turkey and swiss that I ordered was very dry. I had asked for oil instead of mayonnaise, but found nothing on it. So, that was alright, but not great. The tomato pie was fabulous. Thick crust delicious sauce. That one gets an A+++. Bumped up my star rating for this one. Not what it once was, but on it's way back!!",4,Yelp
January,2015,"Sandwiches were good as always. And the kiosk ordering system makes it easier then ever while making it hard for the back of house to mess up your order. Staff is friendly, but loud and not too conscious. The cashier placed salads and sandwiches (cold stuff) in with hot French fries. Not too smart. Fries were chilled when we arrived home.
Cannoli also very good. We also ordered some fig bar cookies that were very very dry. You'd need a gallon of milk to make them enjoyable. Certainly not worth the $9.51 for .56 lbs. This place is basically not what it once was. Maybe it's a shell (cannoli) of it's greatness.",3,Yelp
August,2014,Always consistently good. Friendly staff!,5,Yelp
October,2011,"My favorite Italian store in the burbs.  It's not 9th Street in South Philly, but it is very good, sufficient and more than adequate, and saves me a 45 minute drive into town.Compared to other Italian stores in the burbs, this beats them by a ton.  Their prices are very reasonable, every day olive oil, the big jar of anchovies, the selection of cheeses, the vinegars, the olives, and where they really excel is their meats.  Get some veal scallopine, or some hot italian sausage, or some NY Strips, or rib eye, all excellent.  Almost as reasonable as a regular grocery store, but the quality far exceeds them. Get a slice of tomato pie for the ride home in the car.  Grab some cheeses and Italian sausage or pepperoni for a snack, buy some frozen ravioli for a quick dinner, pick up some fresh produce, all there for the taking, and all making my mouth water as I type. I've never had one of their sandwiches or platters or prepared foods, so I cannot comment. But this place is solid...book it!!",4,Yelp
Nan,2021,This place has everything Italian… I love shopping here… they pizza is killer too,5,Google
Nan,2021,TodayI ordered a Hoagie it was the best Italian hoagie I ever had.This little store was amazing I will have to come back again I ordered lunch meat that was so fresh and cheese sharp provolone cheese was out of this world.They also have pure anise I pick some up to make my Italian Cookies. And yes I’ll be back again everything in the store so fresh and clean.,5,Google
Nan,2021,Great variety. Pleasant atmosphere.,5,Google
Nan,2021,Gluten free pizza! Amazing food and friendly staff. No brainer when it comes to ordering lunch or picking up items for dinner. 10/10,5,Google
Nan,2021,"From authentic Italian deli meats and cheeses for my work from home hoagies and pizza, to better produce that is better than you can find from the chain stores, Altomonte's takes it to the next level of quality. They have  plenty of prepared sauces, pasta, and, dinners as well, for those short on time at home. But they don't beat homemade from Altomonte's fresh ingredients. There is a good italian wine and bakery as well that I don't have the expertise to comment on. I am planning in trying their dry aged beef next.",5,Google
Nan,2021,Best canollies around! Love going to this place. The aroma of the delicious food reminds me of my grandmother's kitchen.,5,Google
Nan,2021,"Amazing sandwiches, top notch deli counter, bakery and prepared foods. One stop shopping; they have ",5,Google
Nan,2021,Fabulous food great people. We love Fabio.,5,Google
Nan,2021,"Have attempted over a ten-year period to patronize this location. Every time I call to order sandwiches they are made incorrectly. Today for instance, I asked for a boars head ever roast chicken hoagie and the young associate said liverwurst? I hung up and called back and asked for the manager and the associate answered. I asked him if I could speak to the manager and he said go ahead, clearly not understanding me whatsoever.. I am very patient with people but I’ve run out of patience with Altomontes Doylestown and Warminster.Pretty nice store for the most part and the best lunchmeat on the planet. But unfortunately they can never seem to get it right.You would think with all of the unemployed people today, they could hire individuals that could take orders accurately.One thing I’ve noticed, they have the older folks upfront taking the money and I know they’re getting that part of the transaction right",1,Google
Nan,2021,Beautiful market one of the best markets I been to delicious pizza and baked goods awesome customer service,5,Google
Nan,2021,"FIVE sandwiches made wrong in two weeks. Last one was a ham & cheese on rye bread , toasted; Yes Wrong !  Called to ask them to talk to their staff because this is ridiculous. The supervisor was very rude. Shame that their deli sandwich service has gone down hill so badly .",1,Google
Nan,2021,Always the best service and products. We love this place.,5,Google
Nan,2021,"Prepared foods are always fresh and delicious, with plenty of options for any meal. There is so much here that I can't imagine anyone not finding at least a handful of fantastic finds to take home.",5,Google
Nan,2021,"They’re pricy but if you want good take out Italian cuisine, and/or products in bucks county this is your option without driving to either NYC or Philadelphia. I definitely would recommend them.",5,Google
Nan,2021,Great for lunch. Lots of options and the quality of food is superb. One if the best italian delis I have been to as well for my antipasto meats during the holidays.,5,Google
Nan,2021,Very good selection of various Italian and other delicacies,5,Google
Nan,2021,Excellent Brooklyn pizza and 00flour Bread. Good italian pastries too,5,Google
Nan,2021,"Nice friendly and convenient small store. Limited items but has Italian speciality items like sauces, cheeses, pasta, spices, coffee, frozen ravioli. Has a nice deli and prepared foods counter. Very nice fresh baked bread selection. Small but fresh produce area. Only place that I can find low fat and low salt chicken hot dogs. Nice selection of Bell and Evans chicken parts. Good parking. Has an eat in area.. Never too crowded during the week.",5,Google
Nan,2021,Place is fantastic. Quality,5,Google
Nan,2021,"What an incredible market. Warm and friendly staff, a fantastic selection of delicious foods both fresh and packaged, and such a beautiful and clean place. You’ll never go wrong at this place",5,Google
Nan,2021,Being from Texas you just get really good hard salami for snacking. Bringing some back to Texas so I can snack in style. Will be back in June to do it again! Thank you for being open and for keeping a safe environment!,5,Google
Nan,2021,"Besides a small shopping order, my husband brought home a pizza steak that had at least a pound of meat which he said was delicious!!",5,Google
Nan,2021,Bought a piece of white pizza with broccoli Ravi and it was great!!!,5,Google
Nan,2021,Love this place! Great deli and wine selection.,5,Google
Nan,2021,Very good,5,Google
Nan,2021,The cashier was beyond rude to me rushing me along demanding that I get closer to another customer which puts my life and that customer at risk without a care in the world. Regardless that everyone was wearing a mask it is still already close quarters in there in the first place. I do not need an employee completely disregarding that people are dying from this and I'm trying to make it to the end of the year. I work at a local hospital and I have watched plenty of people die from COVID and I am not going to be one of them because of an impatient customer.,1,Google
Nan,2021,I decided on a different choice since the grilled cheese I had on a prior visit was beyond delicious. I chose from the menu: breaded chicken with sharp provolone and roasted red pepper sandwich. I added sauteed spinach for a bit of flavor. To say I was upset would be an understatement. I was sadly disappointed.,2,Google
Nan,2021,Great food and produce options. Fresh food for take out as well as food to take home for dinner.,5,Google
Nan,2021,An excellent shopping experience when in need of Italian cuisine.,5,Google
Nan,2021,Love the prepared foods & hot soups. Bakery & deli,5,Google
Nan,2021,What a great find...it was like being in a candy store for a kid. Had an Italian roast pork sub that Rocked! Some much good stuff from bakery to butcher areas and everything in-between!,5,Google
Nan,2021,"Love this Italian market, great selection and authentic food.",5,Google
Nan,2021,Great place and selection,5,Google
Nan,2021,"Love this market and the friendly helpful staff. The butcher is phenomenal and I get all my meats here, their sausage is amazing and so many different kinds. Bakery is also a favorite!",4,Google
Nan,2021,"Wonderful food options. From pastas, sauces, bakery items,, delectible desserts, sandwiches, pizza, vegetables, soups. Friendly and helpful staff.",5,Google
Nan,2021,"I work near Altomonte’s and have been a loyal customer for about 2 years or so eating there at least once a week often bringing my fellow employees along. Today like most days I placed my order from the deli and patiently waited for my food to be completed. While I was waiting I noticed an employee making pizza with his mask half down and even with the pandemic I looked past it until the coughing began. The gentleman coughed at least 5 times, mask down and even began to wipe his nose with gloved hands all while preparing a pizza. At that point I attempted to find a manager and was referred to the gentleman who was standing next to the coughing employee during this whole exchange. While he listened to my concerns he made it sound like this was an issue that had happened before  with this employee but he would address it but did not saying much more. To make matters worse after I left I see photos of the pizza guy named chad from less that two months ago in a Google review with his mask in various forms of not being worn properly around food. Even more concerning is the fact chads supervisor watched this all happen in front of customers and said nothing. I will not be returning to your store which is a shame because I love the food you have and I would suspect the people I work with will follow suit. Even without the coronavirus an employee who prepares food with in such an unsanitary manner should not be allowed to continue without correction. This was an absolutely disgusting experience and one I wish never happened.",1,Google
Nan,2020,Friendly and great selection around the store.,5,Google
Nan,2020,One of my favorite places to shop.,5,Google
Nan,2020,Great little specialty grocery with awesome Italian foods.,5,Google
Nan,2020,"Wonderful staff, terrific selection acoss the board: fresh meats/poultry/deli. Love the pork gravy with deli sliced pork, homemade sausage with provolone. Tip of the iceberg... bakery, overall selection, on and on!!",5,Google
Nan,2020,"Come prepared to spend money, but it's fantastic for some hard-to-find items.",5,Google
Nan,2020,Love this market for all my fresh sauces and cheeses and a variety of wine!,5,Google
Nan,2020,Alomonte's This is super market low quality food Forzen food sell for high end price 0/10 (kimberton whole foods) Is best place to go for quality or local farm,1,Google
Nan,2020,All the food is delicious don't go when you are hungry 😂,5,Google
Nan,2020,A shopping experience for all of your taste buds😊 yuum,5,Google
Nan,2020,Great place to shop. Nice bakery department.,5,Google
Nan,2020,How am I just finding out about this place? Dry aged meat with a ton of choices. Produce. Prepared foods.bpizza. incredible sandwiches. Ok. Not cheap. But quality comes at a cost.,5,Google
Nan,2020,"Beautiful, clean, and well stocked. Fresh salads, hoagies, pizza, bread, fruit and vegetables, as well as pasta, and condiments. Also carries delicious, homemade baked goods, strombolis, and homemade side dishes. Will definitely be back!",5,Google
Nan,2020,Amazing food.,5,Google
Nan,2020,"If you’re A pizza connoisseur then you have to try the Roman Pizza from the Pizza chef/ dough Expert Chad Lassin. The man is a Pizza Genius.He makes a Roman pizza ( see pics ) that is incredible. He explained it takes up to 92 hours to make and prepare the dough for this one of a kind artistic gem. This isn’t a pizza to be taken lightly. I want to thank The Pizza manager Vincent Basile for offering this great Pizza as well as the store manager Melissa Rago. They are a pleasure to work with. I can’t recommend this pizza and store enough. I’ve reviewed lots of Pizzas, some good and some horrific. I must say this Roman Pie is excellent and it’s at the top of my list. Bravo 🇮🇹.",5,Google
Nan,2020,An amazing experience! I have never been to an italian market before and loved it,5,Google
Nan,2020,"Love the variety of options for food at the store. If you like Italian, then this is for you.",4,Google
Nan,2020,Italian paradise.,5,Google
Nan,2020,Pepper steak is EXCELLENT.,5,Google
Nan,2020,Love hitting Altamontes when I travel to Doylestown from Jersey,5,Google
Nan,2020,"Authentic Italian Market. Premade meals, bakery, deli, fresh pasta and sauces and much more!",5,Google
Nan,2020,You might want to think about posting your revised hours on your website rather than just a piece of paper on you door.,3,Google
Nan,2020,Good steak sandwich and a beautiful day to sit outside and enjoy it,4,Google
Nan,2020,"Sad, good store but despite the Gov said masks aren't required and most stores are not enforcing this policy Altamonte's is enforcing it. Masks are not required especially if you have a medical reason not to wear them (which I do). They don't care, they are just sheeple and frankly I can get better and more italian products at giannetti.artisans@gmail.com. I will miss you but I won't be dictated to...bye Felicia.",1,Google
Nan,2020,"Wonderful place to shop. Excellent produce, wonderful homemade breads, best meatballs ever. Friendly helpful folks, great prices.",5,Google
Nan,2020,"Great food, clean, friendly..if you like Italian food...this is the place !",5,Google
Nan,2020,Great selection and friendly staff,5,Google
Nan,2020,"Incredibly modern and sleek, nothing looks out of place. All the employees had masks, as did all the customers, and the meatball sandwich I got was incredible! Groceries and produce are a little more expensive than your average supermarket, but I can imagine they're quality. Overall it's a pleasant experience.",5,Google
Nan,2020,"I give the food 5 stars.  I give the female clerk at the wine checkout counter 5 stars. For social distancing/mask wearing I give the staff 1 star.  2 employees, one on the floor and one at the pizza/sandwich area wore masks but underneath their noses. 3 stars to the prepared food area. We waited a good 5 minutes for assistance and when we were finally served, the woman was not friendly and used the same spoon to handle our food. We've been to Altamonte's in the past and we will probably be back but I hope some changes are made. ",3,Google
Nan,2020,Love this place the people working there are very helpful and this place is super clean. The food is amazing I stop there every other week.,5,Google
Nan,2020,"9:15 am waited 15 minutes for a breakfast sandwich, I was the only customer. After 10 minutes someone asked what I was waiting for. Covid19: 2 employees handling pizza had their masks around their chin. One wiped his bare hand on his nose/mouth and proceeded to take a pizza out of the oven. THEN decided to put gloves on. The only reason I don’t give it 1 star is because the food and products are good.",2,Google
Nan,2020,I just want to take a minute to complement this establishment. I work a lot and get a lot of takeout and premade food and I love how all the foods here are always fresh and never old or stale. I know I can run in here and get a delicious and fresh meal to go when I’m in a very big hurry. I also really like the employees. They are all very nice and really seem to care about the customer and their job. I am so thankful for your establishment and being there for a very busy person like myself who never gets the time to cook. Keep up the great work!,5,Google
Nan,2020,"This market is like walking into old world Europe right here in Doylestown. The cheeses, wines,exquisite desserts, fresh pasta and many delicacy’s found in Italy are here!",5,Google
Nan,2020,"Altomonte’s Italian Market on North Easton Road in Doylestown is a truly unique food shopping experience. It is like a little slice of Italy in Central Bucks. The store is clean and well stocked with many foods from Italy as well as other European countries. They have a very large prepared foods section with many wonderful selections. They also carry various wines and beers from Italy, although a bit on the pricey side. Having said that, I am sure they are very good wines that you can’t find elsewhere, so if you are having an Italian dinner for special guests, go for it. I will be returning to this location the next time I am in Doylestown and I suggest you do the same.",4,Google
Nan,2020,Stopped in to grab a slice of pizza. The slice had a nice crispy / chewy crust. The crust was pretty tasty. The sauce was nice too. The cheese was a good quality cheese which tied the slice together well. I would definitely go back and try some more of the food. The staff was friendly enough and the store was clean. Price was a bit steep for a slice though.,4,Google
Nan,2020,"We went Saturday for the first time for lunch. Our sandwiches were delicious. Everything looked great. Except when we got to the register to pay on two seperate occasions, the young woman was smiling the entire time. My family & I were unsure why, was a bit uncomfortable. We felt sorry for her. Hopefully the manager will pay more attention to the staff so the customer service will be a normal experience for the customer's moving forward",1,Google
Nan,2019,"We bought a loaf of your "" Bake at home "" bread yesterday. It was so delicious. We made toad in a hole for breakfast this morning with leftover bread. SO DELICIOUS!! Thank you for surpassing our expectations once again.",5,Google
Nan,2019,My wife picked up a couple pounds of lunch meat that was sliced so bad it looked like garbage. How is that acceptable? Had to throw it away. Will never return to this location.,1,Google
Nan,2019,Amazing selection of great Italian food!!,5,Google
Nan,2019,Great deli and sandwiches. Nice selection of prepared foods and specialty items. It's hard not to love this place!,5,Google
Nan,2019,"Let me first start off by saying, I don't just write about bad experiences.  i have written lots of reviews to help people out as I use Google reviews as a guide.  If a place is outstanding they deserve that recognition.  Altomonte's however is at the furthest end of that spectrum.  I have been here 3 times now.  What I have noticed each time is, this place draws a lot of white collar individuals.  Lots of Mercedes, BMW's, Lexus's in the parking lot.  When you go in, you are overwhelmed by how nice this place looks.  I agree with the other reviewers, some of the rarest Italian meats and cheeses you can find in Bucks county.  But there is just an odd feel to this place.  If you aren't used to this type of market or don't fit the schematics you don't fit in.  Prices are high and again, the clientele is white collar.  I have ordered food here twice.  The last time (about 2 months ago) we ordered a buffalo chicken pizza for dinner.  After reading the reviews I was so excited to try this place.  Once we brought the pizza home however, I was severely disappointed. The pizza was very dry, didn't have a whole lot of sauce on it, and what stood out the most is, it really lacked any flavor.  I don't know how that is possible with pizza.  However, I understand that could have been a fluke and was willing to give it another try.  My family and I visited here again very recently.  Again, right away we felt out of place.  The store closed at 7 this particular night (I didn't know that yet).  We walked in around 6:40 and by the time we ordered our sandwiches and paid it was 6:45.  My young children were hungry and were excited for their dinner.  As my wife waited for our food to come up,  I had them go over and pick a table for us to eat at.  As they sat down I noticed two workers came in and started putting the chairs up on the table.  As the workers got to where we were sitting, they looked at each other as if to say, what do we do?  As I was observing this, I noticed a woman standing at the door with her arms crossed staring our direction.  She and I made eye contact and it wasn't a friendly look.  I got up to talk to my wife as this same worker seemed to find a way to keep looking in my direction staring.  My wife was very uncomfortable with this and suggested we take our order home instead.  I originally said no, as the kids are hungry and we are a paying customer inside an establishment well before closing time.  But as I watched this woman let people out the door with her arms crossed (it wasn't 7 o'clock yet), I didn't want to put my young kids through that uncomfortable experience of feeling rushed.  I went over and told my kids come on, we will eat at home, they were very upset as they were very hungry. At this point I was done with Altomonte's.  Even if our food was the best food we have ever tasted, I wasn't going to go back.  When we did get home and heated our dinners up I will say it tasted better than the pizza, but $10.50 for a hot sandwich is a bit much.  While the sandwich was packed with meat, it still didn't have much flavor.  My wife said her sandwich was ok, but even still we will NEVER visit this place again. The staff that makes the sandwiches and pizza were very nice and helpful, but the cashiers and arm-crossed front end manager ( I suppose) that never smile don't make this a warm and inviting place. I know this place will continue to do well as they are always crowded.  Quite honestly I don't know why when with the exception of a few good workers, customer service is severely lacking here.  I don't care how good you are, if you are in this type of industry, customer service should always be #1 priority.  A sincere smile and thank you go a long way.  Altomonte's doesn't believe in that.  It's just expected people keep coming back to buy their goods.  Well I hope this review helps someone out there from making the same mistake I made but never will again.  We work hard for our money and to give it to low class establishments like this is a travesty.  I will continue to tell as many people as I can about this",1,Google
Nan,2019,"Fantastic food but I've never had an order be correct. The receipts list everything that should be on a sandwhich yet it is wrong every single time, the price is also different every time. I once order a sandwhich without being told I would get charged extra for everything on it that came to $24. I got home to find that nothing on the sandwhich was what I ordered and I was given a hard time when I brought it back. Great food but not worth the hassle of never getting what you ordered despite paying a ton for it.",2,Google
Nan,2019,We love this place! So much fantastic food to choose from! It's a wonderful adventure everything we go.,5,Google
Nan,2019,"Great Italian food, clean and courteous",5,Google
Nan,2019,"Hey, just go. If you want authentic, fresh, and a variety of Italian foods, Altomontes is the place. I can't say enough so I'll stop here - Just go! I guarantee you won't leave without a lot of food!",5,Google
Nan,2019,"Altomontes is a great place to get a sandwich. Actually scratch that, it's a great place to get food. Actually wait! Altamontes is the BEST place to get anything that is both Italian and edible. One of my favorite parts of this amazing store is that they have both an in house and an imported version of almost every meat, cheese, ravioli, etc. So many different options! They offer pre made food, ingredients for you to make your own, and they even cater! The prices are not bad at all when you consider the quality of what you are getting. The service is second to none. Altamontes definitely earned this five star review!",5,Google
Nan,2019,Best meat in the area.,5,Google
Nan,2019,Quality food. Great value at affordable prices.,5,Google
Nan,2019,Awesome food,4,Google
Nan,2019,Wonderful catering!,5,Google
Nan,2019,Always great for food and service. So busy on weekend could use a little extra parking,5,Google
Nan,2019,"Amazing food, great selection, and friendly staff.",4,Google
Nan,2019,Good Italian store lots of prepared food and a wide selection of pastry,5,Google
Nan,2019,"Took my mother there to look around and she liked it! Even bought some homemade spaghetti to take home .. She is very fussy about food ( has to be fresh), so we will see. Used to make all her own pasta.... The kids still dream about it. So we will wait to hear back from her to see what she thinks. Martin loves their cheeses... And everything else in their! The spinach ravioli with sauce is one of my favorites",5,Google
Nan,2019,"Excellent, as always. Picked up a couple frozen eggplant Parm, meat lasagna, fresh ricotta and cannoli chips for unexpected guests. It was quick, easy and loved by all.",5,Google
Nan,2019,"Very nice place. Full of Italian delights. Plenty of parking. Lots of choices The sandwiches were okay. The pizza was good, a little tough. I would give it another chance",4,Google
Nan,2019,Always very good,5,Google
Nan,2019,They have everything Italian and delicious.,5,Google
Nan,2019,"This place can't get an order correct even if it tried. I stopped ordering from this place a long time ago because they would never give me the correct order. However, today we ordered lunch for our client meeting (not my idea) only to find out that they gave us the wrong order. What made this even worse is that looking at the woman's order that they did give, showed that this place would have given her a completely wrong order as well! This scenario happens way to often. To top it off, this place doesn't really care when you bring it to their attention.",1,Google
Nan,2019,Rude male attendant at the ordering station for hoagies. Could not find pitcels and the cookie attendant was very busy so I went to customer service and they where to busy gossiping. I paid for my 2 sandwiches and got out of there quickly.,3,Google
Nan,2019,I like the variety of items. Just wish they would have more semolina bread available. Went there again and they were gone..,4,Google
Nan,2019,Awesome store. Many things to look at. The cold deli was my favorite. Relaxed atmosphere . Staff very friendly & helpful. Store was clean & well stocked. Will be back again !!,5,Google
Nan,2019,Great food!,5,Google
Nan,2019,Very nice!,5,Google
Nan,2019,Good selection of quality foods,4,Google
Nan,2019,Regular customer. New location has more to offer than old Doylestown store. Good deli and selection of prepared foods. Nice bakery. Sandwiches made to order. Meat and produce as well.,5,Google
Nan,2019,Altomonte's always offers the best quality products and service.,5,Google
Nan,2019,All the ingredients for a special meal,4,Google
Nan,2019,"Great prepared meals, lunch options and bakery. Can't go wrong with anything you get!",5,Google
Nan,2019,Good quality. Excellent rolls,5,Google
Nan,2019,"Alto's combines great service, awesome products at a fair price. If I could give him extra stars I would!",5,Google
Nan,2019,Great delicious options for dinner in a pinch. Desserts foe parties. Hard to not spend money on all the good products.,5,Google
Nan,2019,I love shopping here. This place has MOST of what I need. Services are great and prices are so decent.,5,Google
Nan,2019,Most everything you want in Italian food and ingredients is here. The store is relatively new and very clean. The prices on many items are inflated and a large number of items are unmarked making shopping difficult,4,Google
Nan,2019,"I have thought long and hard before writing this review of my experience in the Warminster store. I am a loyal customer of yours for 25 years. I was getting salads at the counter, and as I was there, one of the workers spilled tuna in the macaroni salad. So right before my eyes another worker reached into the case with her hand and scooped the tuna out of the macaroni salad and never changed it out with fresh macaroni salad and continued on as if this was a normal practice of hers! Even though she had gloves. What had she touched prior to that with her gloves? Isn't that a cross-contamination issue? Today with so many people with food allergies why would you do that? The girl said, Katlyn, what are you doing, she responded, its ok don't worry about it! In my opinion it is most definitely not ok! I don't think I will be buying salads from the salad area again!",3,Google
Nan,2019,"We are new to Doylestown, but by far, this market is the best! Btw, people are incredibly nice and sweet in this store, starting from the cashiers, ending with deli, and take out. So I am not getting some comments about rude staff. I feel like there are people out there who after a long tiring day full of stress, let it all out with mean reviews. The staff are incredible and nice people. Maybe because it is my perception after living in NJ for 10 years, but I cannot remember even once being given an attitude.",5,Google
Nan,2019,Fantastic Italian market and fresh made food. It’s the best in the area.,5,Google
Nan,2019,"The only place to go for real deal Italian. We shop here on a regular basis and have never been more pleased with the service and food options. Great food, great prices and excellent customer service. The catering service and options are top notch as well.",5,Google
Nan,2019,"The food and selection here is amazing. Love the hot bar items, I could eat for my lunch every day. They have homemade pasta that is so good, couple it with their own sauce and you have a 5 star meal. They are not cheap, you're getting what you pay for.",5,Google
Nan,2019,Excellent cheeses and meats. Fantastic service with a smile and killer sandwiches to boot!,5,Google
Nan,2019,"Roasted eggplant, stuffed long hots, cheeses galore and a cup of espresso. That is what I call a treat of a day.",5,Google
Nan,2019,Great place!!!,5,Google
Nan,2019,Expensive. Delicious. Yum,5,Google
Nan,2019,"One of the worst roast beef hoagies I have ever paid for. Meat was dry and chewy, like when its old and been in fridge for a while. Cheese was put on in little broken pieces, very sparingly, like it was gold leaf they were putting on. Not even a slice for $8.59 for 6""? Rest of toppings were also put on in a very sparingly. First time there and it was very disappointing. To top it off, 20 minute wait for a cold sandwich and it came out wrong not once, but twice. Never would I expect a Wawa sandwich to be so much cheaper and way better.",2,Google
Nan,2019,Fantastic market to get speciality cheese and pastas! Great bread and pastries!,4,Google
Nan,2019,Closest thing we have to Eataly in the area. Love it.,5,Google
Nan,2019,Loved it!,5,Google
Nan,2019,"If you are looking for an authentic Italian Market, Altomonte's is the Best! Great food, wonderful staff, and an awesome atmosphere!",5,Google
Nan,2019,Awesome place! Feed six people for a little over $20. Full-size and mini pizzas at very reasonable prices. Great fountain root beer. Great heroes. They have a very nice and spacious seating area.,5,Google
Nan,2019,"Awesome authentic Italian market. Very fresh meats, cheeses, specialty cookies and pastries, things you don't find in most regular supermarkets. Even home made take out food.",5,Google
Nan,2019,Great!,5,Google
Nan,2019,"We love going to Altamontes. I always get the frozen pizza dough and pasta fagoli. They have good pre-made meals, and their cheese selection is great.",4,Google
Nan,2019,"Great place, and delicious food!",5,Google
Nan,2019,Best market in town with Italian specialties,5,Google
Nan,2019,Great selections and awesome service,5,Google
Nan,2019,"Last time we ordered one sandwich was slopped together one tomato slice,very little meat or cheese and literally was stuffed with lettuce,obviously it was rushed.Today the big guy taking orders had an attitude like he was being inconvenienced by having to be there,completely screwed the oder up.We stopped ordering when they were at the old location because of this same thing and this will be the last time we ever order from the new location.I have ordered in person meaning to eat there and had this happen.Very poor employment causes very poor service and reviews.For future reference aged sharp provolone is a very acquired taste,when heated it is unbearable to people who do not like it,especially when they did not order it on their sandwich,can not get the smell out of my house. I worked at a sandwich shop as a kid and I had the common sense to know that.",1,Google
Nan,2019,No customer service when I returned bad quality teke out food and receipt.,1,Google
Nan,2019,"More than a deli, it's also a mini pizzaria, mini grocery store and more. Places to sit and eat. Friendly and helpful staff. Highest marks.",5,Google
Nan,2019,What a place. Loved my eggplant. Other loved their food too.,5,Google
Nan,2019,"Fresh food, fine people!",5,Google
Nan,2019,"You will fall in love with this place, a little taste of Italy in Doylestown. The food is fresh and good, everything is delicious. It's hard to choose just one favorite. Their meat selection is amazing!!!",5,Google
Nan,2019,"Always the best of the best. Whether picking up a few items for dinner, a sauce and pasta or getting a sandwich or salad. Worth every penny. And the people are wonderful.",5,Google
Nan,2019,"Love!!! Excellent food, service, knowledge and atmosphere!",5,Google
Nan,2019,The Meatballs are to die for! Yummy,5,Google
Nan,2019,Just wonderful,5,Google
Nan,2019,"Nice selection, good bakery, prepared foods and Italian specialty items. Dine in area.",4,Google
Nan,2019,Good food!!! Great service!!!,5,Google
Nan,2019,"Incredible service and outstanding food! We ordered the Veggie #4 on Panini and added broccoli rabe - nutritious and delicious! This place is like a gourmet Wawa (dare I compare). Clean and excellent variety of produce, baked goods, and even coffee!",5,Google
Nan,2018,Fresh. Delicious. Affordable. Family friendly.,5,Google
Nan,2018,"Very disappointed first: touch screen I had basically to push 2 or 3 times to get proper item, when I got my slip I paid, went pick up my cheese steak I was very disappointed with the service and the quality of the sandwich. I will not return to Altomontes",1,Google
Nan,2018,"Great food, great people.",5,Google
Nan,2018,Excellent everything.,5,Google
Nan,2018,Awesome food nice people,5,Google
Nan,2018,"Great, convenient market for Italian foods.",5,Google
Nan,2018,"Love the bread, love the pasta, love the sauces, love the prepared foods, love the pastries.",5,Google
Nan,2018,"Awesome place! Great selection, great food, and the prices are good too.",5,Google
Nan,2018,"Doesn't look like much from the outside but as soon as you walk in you feel like you've been transported to Italy. Prepared foods (frozen, refrigerated & hot), produce, bakery, pizza, coffee, imported cheeses, olive bar, catering, butcher shop & store made pasta and sauces. I would have never come in except that the dealership across the street highly recommend them. So happy I did!",5,Google
Nan,2018,There isn't any place in the area that compares. Service and quality are the best.,5,Google
Nan,2018,Amazing place.,5,Google
Nan,2018,I had lunch. Very good fresh sandwich and quality pizza,4,Google
Nan,2018,"Great deli, great frozen stables (tortellini,,gravies, etc) good vegies and prepared Italian meals for dinner hot and cold. Indoor and outdoor tables to enjoy your lunch or snack.",5,Google
